#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	flowmeter
#open	2024-03-12-15-00-41
#fields	uid	flow_duration	fwd_pkts_tot	bwd_pkts_tot	fwd_data_pkts_tot	bwd_data_pkts_tot	fwd_pkts_per_sec	bwd_pkts_per_sec	flow_pkts_per_sec	down_up_ratio	fwd_header_size_tot	fwd_header_size_min	fwd_header_size_max	bwd_header_size_tot	bwd_header_size_min	bwd_header_size_max	flow_FIN_flag_count	flow_SYN_flag_count	flow_RST_flag_count	fwd_PSH_flag_count	bwd_PSH_flag_count	flow_ACK_flag_count	fwd_URG_flag_count	bwd_URG_flag_count	flow_CWR_flag_count	flow_ECE_flag_count	fwd_pkts_payload.min	fwd_pkts_payload.max	fwd_pkts_payload.tot	fwd_pkts_payload.avg	fwd_pkts_payload.std	bwd_pkts_payload.min	bwd_pkts_payload.max	bwd_pkts_payload.tot	bwd_pkts_payload.avg	bwd_pkts_payload.std	flow_pkts_payload.min	flow_pkts_payload.max	flow_pkts_payload.tot	flow_pkts_payload.avg	flow_pkts_payload.std	fwd_iat.min	fwd_iat.max	fwd_iat.tot	fwd_iat.avg	fwd_iat.std	bwd_iat.min	bwd_iat.max	bwd_iat.tot	bwd_iat.avg	bwd_iat.std	flow_iat.min	flow_iat.max	flow_iat.tot	flow_iat.avg	flow_iat.std	payload_bytes_per_second	fwd_subflow_pkts	bwd_subflow_pkts	fwd_subflow_bytes	bwd_subflow_bytes	fwd_bulk_bytes	bwd_bulk_bytes	fwd_bulk_packets	bwd_bulk_packets	fwd_bulk_rate	bwd_bulk_rate	active.min	active.max	active.tot	active.avg	active.std	idle.min	idle.max	idle.tot	idle.avg	idle.std	fwd_init_window_size	bwd_init_window_size	fwd_last_window_size	bwd_last_window_size
#types	string	interval	count	count	count	count	double	double	double	double	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	count	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	double	count	count	count	count
CiC9Mq4CY3zdrTAQp2	0.001859	1	1	1	1	537.869197	537.869197	1075.738394	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1859.18808	1859.18808	1859.18808	1859.18808	0.0	125323.522955	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	1859.18808	1859.18808	1859.18808	1859.18808	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
CVT17E3O6D79nVSl36	0.003168	1	1	1	1	315.669752	315.669752	631.339505	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3167.867661	3167.867661	3167.867661	3167.867661	0.0	73551.052307	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	3167.867661	3167.867661	3167.867661	3167.867661	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
CCyFKR3TCV68dLIbH7	0.010529	1	1	1	1	94.975409	94.975409	189.950817	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10529.04129	10529.04129	10529.04129	10529.04129	0.0	22129.270232	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	10529.04129	10529.04129	10529.04129	10529.04129	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
CGmRQYX68jLfLIOji	0.009752	1	1	1	1	102.542699	102.542699	205.085397	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9752.035141	9752.035141	9752.035141	9752.035141	0.0	23892.448769	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	9752.035141	9752.035141	9752.035141	9752.035141	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
CL04eB3EIowaOpfpj9	0.001499	1	1	1	1	667.033079	667.033079	1334.066158	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1499.176025	1499.176025	1499.176025	1499.176025	0.0	155418.707379	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	1499.176025	1499.176025	1499.176025	1499.176025	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
C7Ejq72mFY0wDy76Vg	0.004604	1	1	1	1	217.208907	217.208907	434.417815	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4603.862762	4603.862762	4603.862762	4603.862762	0.0	50609.675401	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	4603.862762	4603.862762	4603.862762	4603.862762	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
Cwx5gF134lQQhz1iCf	0.002032	1	1	1	1	492.115922	492.115922	984.231843	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2032.04155	2032.04155	2032.04155	2032.04155	0.0	114663.009738	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	2032.04155	2032.04155	2032.04155	2032.04155	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
CBsDhv2SooikYcw70e	0.045175	1	1	1	1	22.1361	22.1361	44.2722	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45175.075531	45175.075531	45175.075531	45175.075531	0.0	5157.711354	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	45175.075531	45175.075531	45175.075531	45175.075531	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
CSPd2q47TSkPAEBKl4	0.007782	1	1	1	1	128.501961	128.501961	257.003922	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7781.982422	7781.982422	7781.982422	7781.982422	0.0	29940.956863	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	7781.982422	7781.982422	7781.982422	7781.982422	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
CkEv4w49zebKlRpdll	0.003916	1	1	1	1	255.360974	255.360974	510.721948	1.0	8	8	8	8	8	8	0	0	0	0	0	0	0	0	0	0	45.0	45.0	45.0	45.0	0.0	188.0	188.0	188.0	188.0	0.0	45.0	188.0	233.0	116.5	101.11627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3916.025162	3916.025162	3916.025162	3916.025162	0.0	59499.106971	1.0	1.0	45.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0	3916.025162	3916.025162	3916.025162	3916.025162	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0
