src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.28.97.1,172.28.96.1,37195,53,17,2024-03-12 17:04:31,15219.0,20829.22662461397,131.41467901964648,65.70733950982324,65.70733950982324,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,47991,53,17,2024-03-12 17:04:32,29383.0,10788.55120307661,68.06656910458429,34.033284552292145,34.033284552292145,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,37355,53,17,2024-03-12 17:04:33,3442.0,92097.61766414874,581.0575246949447,290.52876234747237,290.52876234747237,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,53410,53,17,2024-03-12 17:04:34,1751.0,181039.4060536836,1142.204454597373,571.1022272986864,571.1022272986864,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,40260,53,17,2024-03-12 17:04:35,1958.0,161899.89785495403,1021.4504596527067,510.72522982635337,510.72522982635337,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,52182,53,17,2024-03-12 17:04:36,1346.0,235512.63001485885,1485.8841010401188,742.9420505200594,742.9420505200594,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,54258,53,17,2024-03-12 17:04:37,4173.0,75964.53390845915,479.27150730889053,239.63575365444527,239.63575365444527,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,33183,53,17,2024-03-12 17:04:38,1737.0,182498.5607369027,1151.4104778353483,575.7052389176741,575.7052389176741,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,37076,53,17,2024-03-12 17:04:39,2001.9999999999998,158341.65834165836,999.0009990009991,499.50049950049953,499.50049950049953,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,35602,53,17,2024-03-12 17:04:40,2507.0,126445.95133625847,797.7662544874352,398.8831272437176,398.8831272437176,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,45103,53,17,2024-03-12 17:04:41,1625.0,195076.9230769231,1230.7692307692307,615.3846153846154,615.3846153846154,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
