src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.28.97.1,172.28.96.1,39162,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:11,11934.0,26562.761856879504,167.58840288252054,83.79420144126027,83.79420144126027,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,39680,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:12,1802.0,175915.64927857937,1109.8779134295228,554.9389567147614,554.9389567147614,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,34636,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:13,54273.0,5840.841670812374,36.85073609345346,18.42536804672673,18.42536804672673,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,48826,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:14,3602.0,88006.66296501942,555.247084952804,277.623542476402,277.623542476402,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,46477,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:15,2224.0,142535.9712230216,899.2805755395684,449.6402877697842,449.6402877697842,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,38040,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:16,1880.0,168617.02127659574,1063.8297872340427,531.9148936170213,531.9148936170213,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,38771,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:17,25410.0,12475.403384494295,78.70916961826053,39.354584809130266,39.354584809130266,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,43764,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:18,1592.0,199120.60301507535,1256.2814070351758,628.1407035175879,628.1407035175879,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,39983,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:19,7099.0,44654.17664459783,281.7298211015636,140.8649105507818,140.8649105507818,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,37043,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:20,1434.0,221059.9721059972,1394.700139470014,697.350069735007,697.350069735007,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,51055,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:21,3535.0,89674.68175388967,565.7708628005657,282.88543140028287,282.88543140028287,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,33715,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:22,1470.0,215646.25850340136,1360.544217687075,680.2721088435375,680.2721088435375,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,33502,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:23,1598.0,198372.9662077597,1251.5644555694619,625.7822277847309,625.7822277847309,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
172.28.97.1,172.28.96.1,45252,53,00:15:5d:41:6c:2c,00:15:5d:b0:77:a2,17,2024-03-12 17:12:24,1960.0,161734.69387755104,1020.4081632653061,510.2040816326531,510.2040816326531,1,1,87,230,87.0,87.0,87.0,0.0,230.0,230.0,230.0,0.0,230,87,158.5,71.5,5112.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,158.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,230.0,0,1,1,87,230
