#open,2024-03-12-13-14-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fields,uid,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,,,,,,,,,,,,,,,,,,
CHeb2z1IMfHUaudg4k,0.003886,1,1,1,1,257.335051,257.335051,514.670102,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3885.984421,3885.984421,3885.984421,3885.984421,0.0,59959.066937,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,3885.984421,3885.984421,3885.984421,3885.984421,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CNNbca40gzuLLo5Lvh,0.024000,1,1,1,1,41.666789,41.666789,83.333578,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23999.929428,23999.929428,23999.929428,23999.929428,0.0,9708.361881,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,23999.929428,23999.929428,23999.929428,23999.929428,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CVtJCy3BGMItJSaE46,0.013655,1,1,1,1,73.233531,73.233531,146.467061,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13654.947281,13654.947281,13654.947281,13654.947281,0.0,17063.412638,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,13654.947281,13654.947281,13654.947281,13654.947281,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C6OiKJ3Qy6VtdytARk,0.002363,1,1,1,1,423.196852,423.196852,846.393704,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2362.966537,2362.966537,2362.966537,2362.966537,0.0,98604.866512,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2362.966537,2362.966537,2362.966537,2362.966537,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cj1wHV2Ackx5NFkmJa,0.016905,1,1,1,1,59.153854,59.153854,118.307707,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16905.069351,16905.069351,16905.069351,16905.069351,0.0,13782.847923,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,16905.069351,16905.069351,16905.069351,16905.069351,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
COnw0rJ6FzN2XK80h,0.002032,1,1,1,1,492.115922,492.115922,984.231843,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032.04155,2032.04155,2032.04155,2032.04155,0.0,114663.009738,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2032.04155,2032.04155,2032.04155,2032.04155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
ChfcK239DHJNWbheXd,0.001628,1,1,1,1,614.190072,614.190072,1228.380144,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1628.160477,1628.160477,1628.160477,1628.160477,0.0,143106.286718,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1628.160477,1628.160477,1628.160477,1628.160477,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CS3WBvwwyeduvO0Yi,0.020110,1,1,1,1,49.726772,49.726772,99.453543,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20109.891891,20109.891891,20109.891891,20109.891891,0.0,11586.337771,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,20109.891891,20109.891891,20109.891891,20109.891891,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CTuic54ov34ko3mkW4,0.002140,1,1,1,1,467.279857,467.279857,934.559715,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.045166,2140.045166,2140.045166,2140.045166,0.0,108876.206774,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.045166,2140.045166,2140.045166,2140.045166,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CF35cYOS1BWk3Dw2k,0.001510,1,1,1,1,662.293384,662.293384,1324.586768,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.904861,1509.904861,1509.904861,1509.904861,0.0,154314.35844,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.904861,1509.904861,1509.904861,1509.904861,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
