#open,2024-03-12-14-52-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fields,uid,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,,,,,,,,,,,,,,,,,,
CImTNu1Uu2NGsUjSlf,0.001891,1,1,1,1,528.782653,528.782653,1057.565305,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.136169,1891.136169,1891.136169,1891.136169,0.0,123206.358043,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1891.136169,1891.136169,1891.136169,1891.136169,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CoQWcA4v8lukBmZ17h,0.001308,1,1,1,1,764.546847,764.546847,1529.093693,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.964325,1307.964325,1307.964325,1307.964325,0.0,178139.415239,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1307.964325,1307.964325,1307.964325,1307.964325,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cp7UU62DBBCIK5IyJ1,0.001617,1,1,1,1,618.446476,618.446476,1236.892952,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616.954803,1616.954803,1616.954803,1616.954803,0.0,144098.0289,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1616.954803,1616.954803,1616.954803,1616.954803,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CKkqqocwStxZkarlc,0.001413,1,1,1,1,707.660537,707.660537,1415.321073,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.106918,1413.106918,1413.106918,1413.106918,0.0,164884.905011,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.106918,1413.106918,1413.106918,1413.106918,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cde4lh3YC4TS0IZN1b,0.001544,1,1,1,1,647.668931,647.668931,1295.337863,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.998718,1543.998718,1543.998718,1543.998718,0.0,150906.861025,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.998718,1543.998718,1543.998718,1543.998718,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CCJg7m2lCIlTyt41g5,0.001312,1,1,1,1,762.18499,762.18499,1524.36998,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.017441,1312.017441,1312.017441,1312.017441,0.0,177589.102671,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.017441,1312.017441,1312.017441,1312.017441,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CQRuGe4DS6nflAJmq5,0.009112,1,1,1,1,109.743949,109.743949,219.487899,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9112.119675,9112.119675,9112.119675,9112.119675,0.0,25570.340197,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,9112.119675,9112.119675,9112.119675,9112.119675,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cg1tqC3Ust7JplTmz5,0.007813,1,1,1,1,127.992188,127.992188,255.984376,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7812.976837,7812.976837,7812.976837,7812.976837,0.0,29822.179799,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,7812.976837,7812.976837,7812.976837,7812.976837,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cy8yyt2qFjHRofNTDb,0.013381,1,1,1,1,74.732806,74.732806,149.465612,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13381.004333,13381.004333,13381.004333,13381.004333,0.0,17412.743782,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,13381.004333,13381.004333,13381.004333,13381.004333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C1VLO94LmV2oV9y5aa,0.001463,1,1,1,1,683.556714,683.556714,1367.113429,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1462.936401,1462.936401,1462.936401,1462.936401,0.0,159268.714472,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1462.936401,1462.936401,1462.936401,1462.936401,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
