#open,2024-03-12-14-34-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fields,uid,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,,,,,,,,,,,,,,,,,,
Cpx5S24K2QtUFIQQS3,0.002836,1,1,1,1,352.610677,352.610677,705.221354,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835.988998,2835.988998,2835.988998,2835.988998,0.0,82158.287684,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2835.988998,2835.988998,2835.988998,2835.988998,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cr7NdK3ZxIT7Ldluw6,0.001825,1,1,1,1,547.988503,547.988503,1095.977005,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1824.855804,1824.855804,1824.855804,1824.855804,0.0,127681.321139,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1824.855804,1824.855804,1824.855804,1824.855804,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CVbhY022qUBWo9H3w6,0.001424,1,1,1,1,702.210614,702.210614,1404.421229,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.074173,1424.074173,1424.074173,1424.074173,0.0,163615.073163,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.074173,1424.074173,1424.074173,1424.074173,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CMFfeF4I7Rsys5Zub9,0.001844,1,1,1,1,542.250032,542.250032,1084.500065,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.167709,1844.167709,1844.167709,1844.167709,0.0,126344.257531,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.167709,1844.167709,1844.167709,1844.167709,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C8pg594pCPCXjLKBMe,0.009650,1,1,1,1,103.627029,103.627029,207.254058,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9649.991989,9649.991989,9649.991989,9649.991989,0.0,24145.097764,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,9649.991989,9649.991989,9649.991989,9649.991989,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C0jkre32V9fLjoJYg6,0.001848,1,1,1,1,541.130693,541.130693,1082.261386,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1847.982407,1847.982407,1847.982407,1847.982407,0.0,126083.451426,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1847.982407,1847.982407,1847.982407,1847.982407,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CI2EVM2oYosO4HB7ji,0.019334,1,1,1,1,51.722146,51.722146,103.444292,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19334.077835,19334.077835,19334.077835,19334.077835,0.0,12051.260059,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,19334.077835,19334.077835,19334.077835,19334.077835,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CDclgb3XO0wcr5otze,0.005568,1,1,1,1,179.604505,179.604505,359.20901,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5567.789078,5567.789078,5567.789078,5567.789078,0.0,41847.849612,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,5567.789078,5567.789078,5567.789078,5567.789078,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CQeDTZ3RzHxqWD0vci,0.002624,1,1,1,1,381.092495,381.092495,762.18499,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2624.034882,2624.034882,2624.034882,2624.034882,0.0,88794.551336,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2624.034882,2624.034882,2624.034882,2624.034882,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CVJBFw21MuUooUPsQ6,0.009650,1,1,1,1,103.624469,103.624469,207.248938,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9650.230408,9650.230408,9650.230408,9650.230408,0.0,24144.501235,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,9650.230408,9650.230408,9650.230408,9650.230408,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
