#open,2024-03-10-19-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fields,uid,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,,,,,,,,,,,,,,,,,,
C4WwAc4Apq4w8iyXJ5,0.003820,1,1,1,1,261.784047,261.784047,523.568094,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3819.942474,3819.942474,3819.942474,3819.942474,0.0,59948.546748,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,3819.942474,3819.942474,3819.942474,3819.942474,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cw5KIG1MwqSmear6A9,0.001515,1,1,1,1,660.000629,660.000629,1320.001259,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.15007,1515.15007,1515.15007,1515.15007,0.0,151140.144138,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.15007,1515.15007,1515.15007,1515.15007,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CdIQpa3vp4Jxs7GGn4,0.001665,1,1,1,1,600.644995,600.644995,1201.28999,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.876938,1664.876938,1664.876938,1664.876938,0.0,137547.703852,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1664.876938,1664.876938,1664.876938,1664.876938,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CBdFTQ2ZeTmYrmSqIj,0.001525,1,1,1,1,655.667344,655.667344,1311.334688,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1525.163651,1525.163651,1525.163651,1525.163651,0.0,150147.821791,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1525.163651,1525.163651,1525.163651,1525.163651,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CO06P7317J6zbZA3p7,0.001469,1,1,1,1,680.78299,680.78299,1361.56598,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.896866,1468.896866,1468.896866,1468.896866,0.0,155899.304658,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1468.896866,1468.896866,1468.896866,1468.896866,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CllDkf4h0fIZWpB193,0.002018,1,1,1,1,495.546314,495.546314,991.092628,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.974854,2017.974854,2017.974854,2017.974854,0.0,113480.10586,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.974854,2017.974854,2017.974854,2017.974854,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CtvK003n5v6nzbwSk1,0.001586,1,1,1,1,630.532772,630.532772,1261.065544,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1585.960388,1585.960388,1585.960388,1585.960388,0.0,144392.004811,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1585.960388,1585.960388,1585.960388,1585.960388,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CHMGY4oD5sXszgaW4,0.001614,1,1,1,1,619.634215,619.634215,1239.26843,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.855362,1613.855362,1613.855362,1613.855362,0.0,141896.23519,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.855362,1613.855362,1613.855362,1613.855362,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C6aadt1GA3IT9lVt47,0.001505,1,1,1,1,664.496831,664.496831,1328.993663,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.898071,1504.898071,1504.898071,1504.898071,0.0,152169.774398,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1504.898071,1504.898071,1504.898071,1504.898071,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C20z273zhLu5Sg8rnc,0.001464,1,1,1,1,683.000163,683.000163,1366.000326,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.128494,1464.128494,1464.128494,1464.128494,0.0,156407.03729,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.128494,1464.128494,1464.128494,1464.128494,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cvx8312J20BJgAjAnk,0.001567,1,1,1,1,638.208156,638.208156,1276.416312,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.886902,1566.886902,1566.886902,1566.886902,0.0,146149.667681,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.886902,1566.886902,1566.886902,1566.886902,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CUsVOeQl3jSzKPvR7,0.001549,1,1,1,1,645.575496,645.575496,1291.150993,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,44.0,44.0,44.0,44.0,0.0,185.0,185.0,185.0,185.0,0.0,44.0,185.0,229.0,114.5,99.702056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549.005508,1549.005508,1549.005508,1549.005508,0.0,147836.788672,1.0,1.0,44.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1549.005508,1549.005508,1549.005508,1549.005508,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
