#open,2024-03-21-13-35-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fields,uid,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,,,,,,,,,,,,,,,,,,
CT8wvq1ZwshEB1EPvj,0.000000,1,0,0,0,0.0,0.0,0.0,0.0,40,40,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,64240,0,,,,,,,,,,,,,,,,,,,
CSf6Bc3zBia07Ii93l,0.000000,1,0,0,0,0.0,0.0,0.0,0.0,40,40,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,0,64240,0,,,,,,,,,,,,,,,,,,,
CIf3kp1f8IaJ51edp1,0.049390,2,2,2,2,40.494159,40.494159,80.988318,1.0,16,8,8,16,8,8,0,0,0,0,0,0,0,0,0,0,50.0,50.0,100.0,50.0,0.0,226.0,284.0,510.0,255.0,41.012193,50.0,284.0,610.0,152.5,120.702113,61.035156,61.035156,61.035156,61.035156,0.0,32683.849335,32683.849335,32683.849335,32683.849335,0.0,61.035156,32683.849335,49389.839172,16463.279724,16312.165876,12350.718492,2.0,2.0,100.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,49389.839172,49389.839172,49389.839172,49389.839172,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Cb7Oil48PlP0c5y953,0.003219,2,2,2,2,621.332346,621.332346,1242.664692,1.0,16,8,8,16,8,8,0,0,0,0,0,0,0,0,0,0,50.0,50.0,100.0,50.0,0.0,226.0,284.0,510.0,255.0,41.012193,50.0,284.0,610.0,152.5,120.702113,92.029572,92.029572,92.029572,92.029572,0.0,1545.906067,1545.906067,1545.906067,1545.906067,0.0,92.029572,1580.953598,3218.889236,1072.963079,849.694058,189506.365454,2.0,2.0,100.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,3218.889236,3218.889236,3218.889236,3218.889236,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C0304I2HTS5YaAfSNd,0.000000,2,1,1,0,0.0,0.0,0.0,0.5,64,32,32,40,40,40,0,1,0,1,0,3,0,0,0,0,0.0,485.0,485.0,242.5,342.946789,0.0,0.0,0.0,0.0,0.0,0.0,485.0,485.0,161.666667,280.014881,1246.929169,1246.929169,1246.929169,1246.929169,0.0,0.0,0.0,0.0,0.0,0.0,132.083893,1246.929169,1379.013062,689.506531,788.314655,0.0,2.0,1.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.013062,1379.013062,1379.013062,1379.013062,0.0,0.0,0.0,0.0,0.0,0.0,502,65535,502,65535,,,,,,,,,,,,,,,,,,,
CSKnsI1tcuyGp49d08,0.726331,11,8,6,4,15.14461,11.014262,26.158873,0.727273,352,32,32,264,32,40,2,1,0,6,4,19,0,0,0,0,0.0,2856.0,7178.0,652.545455,1110.641199,0.0,4530.0,5197.0,649.625,1575.773455,0.0,4530.0,12375.0,651.315789,1284.884606,80.823898,203508.138657,578745.84198,57874.584198,90331.273813,0.0,206374.883652,726330.99556,103761.570794,98735.271711,0.0,203351.020813,726330.99556,40351.721976,76204.770948,17037.686779,11.0,8.0,7178.0,5197.0,0.0,0.0,0.0,0.0,0.0,0.0,726330.99556,726330.99556,726330.99556,726330.99556,0.0,0.0,0.0,0.0,0.0,0.0,502,65535,501,16386,,,,,,,,,,,,,,,,,,,
C5mnMlzhZGFR0841,3.020077,4,0,4,0,1.32447,0.0,1.32447,0.0,32,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,175.0,700.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,175.0,700.0,175.0,0.0,1004003.047943,1011965.990067,3020076.990128,1006692.330043,4567.42474,0.0,0.0,0.0,0.0,0.0,1004003.047943,1011965.990067,3020076.990128,1006692.330043,4567.42474,231.782171,1.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3020076.990128,3020076.990128,3020076.990128,3020076.990128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
