#open,2024-03-12-15-40-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fields,uid,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,,,,,,,,,,,,,,,,,,
CDUgQr3tdonvMSwCq9,0.001397,1,1,1,1,715.873699,715.873699,1431.747397,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.894455,1396.894455,1396.894455,1396.894455,0.0,166798.57177,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.894455,1396.894455,1396.894455,1396.894455,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CwtiT81e6ZBzAM60Ne,0.001767,1,1,1,1,565.956551,565.956551,1131.913102,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.92009,1766.92009,1766.92009,1766.92009,0.0,131867.8764,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.92009,1766.92009,1766.92009,1766.92009,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C005QdZnm8KyJxmwc,0.001803,1,1,1,1,554.655382,554.655382,1109.310764,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.921295,1802.921295,1802.921295,1802.921295,0.0,129234.704047,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.921295,1802.921295,1802.921295,1802.921295,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CjFKsK38xA0nPK0Khe,0.022961,1,1,1,1,43.552297,43.552297,87.104595,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22960.90126,22960.90126,22960.90126,22960.90126,0.0,10147.685292,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,22960.90126,22960.90126,22960.90126,22960.90126,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
C88kDA3Zu0tNSZ0L8g,0.001353,1,1,1,1,739.084405,739.084405,1478.168811,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.025436,1353.025436,1353.025436,1353.025436,0.0,172206.666432,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.025436,1353.025436,1353.025436,1353.025436,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CDCp6Zn170jMe1kB6,0.001544,1,1,1,1,647.668931,647.668931,1295.337863,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.998718,1543.998718,1543.998718,1543.998718,0.0,150906.861025,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.998718,1543.998718,1543.998718,1543.998718,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
COLWJu3uREcMNixXY5,0.002320,1,1,1,1,431.06927,431.06927,862.138541,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319.812775,2319.812775,2319.812775,2319.812775,0.0,100439.139979,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2319.812775,2319.812775,2319.812775,2319.812775,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CyfV5nu1TAUi2Pyb1,0.002205,1,1,1,1,453.536332,453.536332,907.072664,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2204.89502,2204.89502,2204.89502,2204.89502,0.0,105673.965398,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,2204.89502,2204.89502,2204.89502,2204.89502,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CvlxPo2J3yjkBKuOEl,0.004581,1,1,1,1,218.294161,218.294161,436.588321,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4580.974579,4580.974579,4580.974579,4580.974579,0.0,50862.539398,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,4580.974579,4580.974579,4580.974579,4580.974579,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
CAHVor2kSG8HUE2Fq2,0.001510,1,1,1,1,662.293384,662.293384,1324.586768,1.0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,0.0,188.0,188.0,188.0,188.0,0.0,45.0,188.0,233.0,116.5,101.11627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.904861,1509.904861,1509.904861,1509.904861,0.0,154314.35844,1.0,1.0,45.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.904861,1509.904861,1509.904861,1509.904861,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,
